GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;1;KartoffelKI;120000,0
1;6;Nidoran;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Nd2-e4;1813
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4N3/PPPPPP2/RBN2P2/aQKBRP2 Aa;Be8-d7;173
2;0;118187;0;2pr1kqA/2pbnnbr/2pppppp/8/4N3/PPPPPP2/RBN2P2/aQKBRP2 Aa;Pf1-e2;1318
3;1;119827;0;2pr1kqA/2pbnnbr/2pppppp/8/4N3/PPPPPP2/RBN1PP2/aQKBR3 Aa;Ne7-d5;170
4;0;116869;0;2pr1kqA/2pb1nbr/2pppppp/3n4/4N3/PPPPPP2/RBN1PP2/aQKBR3 Aa;Nc2-b4;1175
5;1;119657;0;2pr1kqA/2pb1nbr/2pppppp/3n4/1N2N3/PPPPPP2/RB2PP2/aQKBR3 Aa;Nf7-e5;202
6;0;115694;0;2pr1kqA/2pb2br/2pppppp/3nn3/1N2N3/PPPPPP2/RB2PP2/aQKBR3 Aa;Ne4xd6;1396
7;1;119455;0;2pr1kqA/2pb2br/2pNpppp/3nn3/1N6/PPPPPP2/RB2PP2/aQKBR3 Aa;Kf8-e7;106
8;0;114298;0;2pr2qA/2pbk1br/2pNpppp/3nn3/1N6/PPPPPP2/RB2PP2/aQKBR3 Aa;Nd6-f5;1063
9;1;119349;0;2pr2qA/2pbk1br/2p1pppp/3nnN2/1N6/PPPPPP2/RB2PP2/aQKBR3 Aa;Pf6xf5;74
10;0;113235;0;2pr2qA/2pbk1br/2p1p1pp/3nnp2/1N6/PPPPPP2/RB2PP2/aQKBR3 Aa;Nb4xd5;930
11;1;119275;0;2pr2qA/2pbk1br/2p1p1pp/3Nnp2/8/PPPPPP2/RB2PP2/aQKBR3 Aa;Ke7-f7;1685
12;0;112305;0;2pr2qA/2pb1kbr/2p1p1pp/3Nnp2/8/PPPPPP2/RB2PP2/aQKBR3 Aa;Pc3-b4;1180
13;1;117590;0;2pr2qA/2pb1kbr/2p1p1pp/3Nnp2/1P6/PP1PPP2/RB2PP2/aQKBR3 Aa;Qg8-f8;123
14;0;111125;0;2pr1q1A/2pb1kbr/2p1p1pp/3Nnp2/1P6/PP1PPP2/RB2PP2/aQKBR3 Aa;Pd3-c4;978
15;1;117467;0;2pr1q1A/2pb1kbr/2p1p1pp/3Nnp2/1PP5/PP2PP2/RB2PP2/aQKBR3 Aa;Qf8-d6;170
16;0;110147;0;2pr3A/2pb1kbr/2pqp1pp/3Nnp2/1PP5/PP2PP2/RB2PP2/aQKBR3 Aa;Qb1xf5;509
17;1;117297;0;2pr3A/2pb1kbr/2pqp1pp/3NnQ2/1PP5/PP2PP2/RB2PP2/a1KBR3 Aa;Kf7-e8;183
18;0;109638;0;2prk2A/2pb2br/2pqp1pp/3NnQ2/1PP5/PP2PP2/RB2PP2/a1KBR3 Aa;Bb2xe5;830
19;1;117114;0;2prk2A/2pb2br/2pqp1pp/3NBQ2/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Pc8-b7;2617
20;0;108808;0;3rk2A/1ppb2br/2pqp1pp/3NBQ2/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Be5xd6;1012
21;1;114497;0;3rk2A/1ppb2br/2pBp1pp/3N1Q2/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Rd8-b8;3304
22;0;107796;0;1r2k2A/1ppb2br/2pBp1pp/3N1Q2/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Qf5xg6;653
23;1;111193;0;1r2k2A/1ppb2br/2pBp1Qp/3N4/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Ke8-d8;276
24;0;107143;0;1r1k3A/1ppb2br/2pBp1Qp/3N4/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Bd6xc7;712
25;1;110917;0;1r1k3A/1pBb2br/2p1p1Qp/3N4/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Kd8-c8;273
26;0;106431;0;1rk4A/1pBb2br/2p1p1Qp/3N4/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Bc7xb8;1089
27;1;110644;0;1Bk4A/1p1b2br/2p1p1Qp/3N4/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Kc8xb8;2012
28;0;105342;0;1k5A/1p1b2br/2p1p1Qp/3N4/1PP5/PP2PP2/R3PP2/a1KBR3 Aa;Ra2-d2;812
29;1;108632;0;1k5A/1p1b2br/2p1p1Qp/3N4/1PP5/PP2PP2/3RPP2/a1KBR3 Aa;Aa1-c2;1194
30;0;104530;0;1k5A/1p1b2br/2p1p1Qp/3N4/1PP5/PP2PP2/2aRPP2/2KBR3 A;Qg6xh7;1215
