GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;0;BasicKI;120000,0
1;1;KartoffelKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pd3-e4;737
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Pf6-g5;213
2;0;119263;0;2prbkqA/2p1nnbr/2ppp1pp/6p1/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Re1-e2;558
3;1;119787;0;2prbkqA/2p1nnbr/2ppp1pp/6p1/4P3/PPP1PP2/RBNNRP2/aQKB1P2 Aa;Pg5-h4;263
4;0;118705;0;2prbkqA/2p1nnbr/2ppp1pp/8/4P2p/PPP1PP2/RBNNRP2/aQKB1P2 Aa;Pf2-g3;655
5;1;119524;0;2prbkqA/2p1nnbr/2ppp1pp/8/4P2p/PPP1PPP1/RBNNR3/aQKB1P2 Aa;Ne7-f5;464
6;0;118050;0;2prbkqA/2p2nbr/2ppp1pp/5n2/4P2p/PPP1PPP1/RBNNR3/aQKB1P2 Aa;Re2-f2;995
7;1;119060;0;2prbkqA/2p2nbr/2ppp1pp/5n2/4P2p/PPP1PPP1/RBNN1R2/aQKB1P2 Aa;Nf5xg3;378
8;0;117055;0;2prbkqA/2p2nbr/2ppp1pp/8/4P2p/PPP1PPn1/RBNN1R2/aQKB1P2 Aa;Pe3-f4;1572
9;1;118682;0;2prbkqA/2p2nbr/2ppp1pp/8/4PP1p/PPP2Pn1/RBNN1R2/aQKB1P2 Aa;Ng3-h1;796
10;0;115483;0;2prbkqA/2p2nbr/2ppp1pp/8/4PP1p/PPP2P2/RBNN1R2/aQKB1P1n Aa;Nd2-c4;775
11;1;117886;0;2prbkqA/2p2nbr/2ppp1pp/8/2N1PP1p/PPP2P2/RBN2R2/aQKB1P1n Aa;Nh1xf2;512
12;0;114708;0;2prbkqA/2p2nbr/2ppp1pp/8/2N1PP1p/PPP2P2/RBN2n2/aQKB1P2 Aa;Nc4-a5;910
13;1;117374;0;2prbkqA/2p2nbr/2ppp1pp/N7/4PP1p/PPP2P2/RBN2n2/aQKB1P2 Aa;Nf2-d3;459
14;0;113798;0;2prbkqA/2p2nbr/2ppp1pp/N7/4PP1p/PPPn1P2/RBN5/aQKB1P2 Aa;Kc1-d2;93
15;1;116915;0;2prbkqA/2p2nbr/2ppp1pp/N7/4PP1p/PPPn1P2/RBNK4/aQ1B1P2 Aa;Nd3-c5;1007
16;0;113705;0;2prbkqA/2p2nbr/2ppp1pp/N1n5/4PP1p/PPP2P2/RBNK4/aQ1B1P2 Aa;Kd2-c1;1733
17;1;115908;0;2prbkqA/2p2nbr/2ppp1pp/N1n5/4PP1p/PPP2P2/RBN5/aQKB1P2 Aa;Nc5-d3;581
18;0;111972;0;2prbkqA/2p2nbr/2ppp1pp/N7/4PP1p/PPPn1P2/RBN5/aQKB1P2 Aa;Kc1-d2;92
19;1;115327;0;2prbkqA/2p2nbr/2ppp1pp/N7/4PP1p/PPPn1P2/RBNK4/aQ1B1P2 Aa;Nd3-c5;1038
20;0;111880;0;2prbkqA/2p2nbr/2ppp1pp/N1n5/4PP1p/PPP2P2/RBNK4/aQ1B1P2 Aa;Kd2-c1;1719
21;1;114289;0;2prbkqA/2p2nbr/2ppp1pp/N1n5/4PP1p/PPP2P2/RBN5/aQKB1P2 Aa;Nc5-d3;578
end; - ; - ; - ;2prbkqA/2p2nbr/2ppp1pp/N7/4PP1p/PPPn1P2/RBN5/aQKB1P2 Aa; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;0;BasicKI;120000,0;0;110161
1;1;KartoffelKI;120000,0;0;113711
