GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;2;Group04Ki;120000,0
1;6;Nidoran;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Re1-e2;0
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNNRP2/aQKB1P2 Aa;Be8-d7;271
2;0;120000;0;2pr1kqA/2pbnnbr/2pppppp/8/8/PPPPPP2/RBNNRP2/aQKB1P2 Aa;Pc3-d4;1
3;1;119729;0;2pr1kqA/2pbnnbr/2pppppp/8/3P4/PP1PPP2/RBNNRP2/aQKB1P2 Aa;Ne7-d5;526
4;0;119999;0;2pr1kqA/2pb1nbr/2pppppp/3n4/3P4/PP1PPP2/RBNNRP2/aQKB1P2 Aa;Nc2-e1;0
5;1;119203;0;2pr1kqA/2pb1nbr/2pppppp/3n4/3P4/PP1PPP2/RB1NRP2/aQKBNP2 Aa;Nf7-e5;94
6;0;119999;0;2pr1kqA/2pb2br/2pppppp/3nn3/3P4/PP1PPP2/RB1NRP2/aQKBNP2 Aa;Pd3-e4;1
7;1;119109;0;2pr1kqA/2pb2br/2pppppp/3nn3/3PP3/PP2PP2/RB1NRP2/aQKBNP2 Aa;Qg8-f7;89
8;0;119998;0;2pr1k1A/2pb1qbr/2pppppp/3nn3/3PP3/PP2PP2/RB1NRP2/aQKBNP2 Aa;Pf2-g3;0
9;1;119020;0;2pr1k1A/2pb1qbr/2pppppp/3nn3/3PP3/PP2PPP1/RB1NR3/aQKBNP2 Aa;Pc8-b7;425
10;0;119998;0;3r1k1A/1ppb1qbr/2pppppp/3nn3/3PP3/PP2PPP1/RB1NR3/aQKBNP2 Aa;Bd1-c2;1
11;1;118595;0;3r1k1A/1ppb1qbr/2pppppp/3nn3/3PP3/PP2PPP1/RBBNR3/aQK1NP2 Aa;Rd8-c8;471
12;0;119997;0;2r2k1A/1ppb1qbr/2pppppp/3nn3/3PP3/PP2PPP1/RBBNR3/aQK1NP2 Aa;Pf3-g4;0
13;1;118124;0;2r2k1A/1ppb1qbr/2pppppp/3nn3/3PP1P1/PP2P1P1/RBBNR3/aQK1NP2 Aa;Rc8-b8;542
14;0;119997;0;1r3k1A/1ppb1qbr/2pppppp/3nn3/3PP1P1/PP2P1P1/RBBNR3/aQK1NP2 Aa;Ne1-f3;1
15;1;117582;0;1r3k1A/1ppb1qbr/2pppppp/3nn3/3PP1P1/PP2PNP1/RBBNR3/aQK2P2 Aa;Rb8-a8;896
16;0;119996;0;r4k1A/1ppb1qbr/2pppppp/3nn3/3PP1P1/PP2PNP1/RBBNR3/aQK2P2 Aa;Pd4xd5;1
17;1;116686;0;r4k1A/1ppb1qbr/2pppppp/3Pn3/4P1P1/PP2PNP1/RBBNR3/aQK2P2 Aa;Ra8-a7;676
18;0;119995;0;5k1A/rppb1qbr/2pppppp/3Pn3/4P1P1/PP2PNP1/RBBNR3/aQK2P2 Aa;Pg3-f4;1
19;1;116010;0;5k1A/rppb1qbr/2pppppp/3Pn3/4PPP1/PP2PN2/RBBNR3/aQK2P2 Aa;Kf8-e7;224
20;0;119994;0;7A/rppbkqbr/2pppppp/3Pn3/4PPP1/PP2PN2/RBBNR3/aQK2P2 Aa;Nf3-g5;1
21;1;115786;0;7A/rppbkqbr/2pppppp/3Pn1N1/4PPP1/PP2P3/RBBNR3/aQK2P2 Aa;Bd7-c8;135
22;0;119993;0;2b4A/rpp1kqbr/2pppppp/3Pn1N1/4PPP1/PP2P3/RBBNR3/aQK2P2 Aa;Nd2-c4;1
23;1;115651;0;2b4A/rpp1kqbr/2pppppp/3Pn1N1/2N1PPP1/PP2P3/RBB1R3/aQK2P2 Aa;Ra7-a6;623
24;0;119992;0;2b4A/1pp1kqbr/r1pppppp/3Pn1N1/2N1PPP1/PP2P3/RBB1R3/aQK2P2 Aa;Kc1-d2;1
25;1;115028;0;2b4A/1pp1kqbr/r1pppppp/3Pn1N1/2N1PPP1/PP2P3/RBBKR3/aQ3P2 Aa;Pd6xd5;620
26;0;119991;0;2b4A/1pp1kqbr/r1p1pppp/3pn1N1/2N1PPP1/PP2P3/RBBKR3/aQ3P2 Aa;Qb1-e1;0
27;1;114408;0;2b4A/1pp1kqbr/r1p1pppp/3pn1N1/2N1PPP1/PP2P3/RBBKR3/a3QP2 Aa;Pe6-f5;687
28;0;119991;0;2b4A/1pp1kqbr/r1p2ppp/3pnpN1/2N1PPP1/PP2P3/RBBKR3/a3QP2 Aa;Re2-h2;1
29;1;113721;0;2b4A/1pp1kqbr/r1p2ppp/3pnpN1/2N1PPP1/PP2P3/RBBK3R/a3QP2 Aa;Pc7-d6;3868
30;0;119990;0;2b4A/1p2kqbr/r1pp1ppp/3pnpN1/2N1PPP1/PP2P3/RBBK3R/a3QP2 Aa;Pf1-e2;1
31;1;109853;0;2b4A/1p2kqbr/r1pp1ppp/3pnpN1/2N1PPP1/PP2P3/RBBKP2R/a3Q3 Aa;Pd6-c5;813
32;0;119989;0;2b4A/1p2kqbr/r1p2ppp/2ppnpN1/2N1PPP1/PP2P3/RBBKP2R/a3Q3 Aa;Qe1-g1;0
33;1;109040;0;2b4A/1p2kqbr/r1p2ppp/2ppnpN1/2N1PPP1/PP2P3/RBBKP2R/a5Q1 Aa;Bc8-d7;603
34;0;119989;0;7A/1p1bkqbr/r1p2ppp/2ppnpN1/2N1PPP1/PP2P3/RBBKP2R/a5Q1 Aa;Rh2-h5;1
35;1;108437;0;7A/1p1bkqbr/r1p2ppp/2ppnpNR/2N1PPP1/PP2P3/RBBKP3/a5Q1 Aa;Bd7-c8;1042
36;0;119988;0;2b4A/1p2kqbr/r1p2ppp/2ppnpNR/2N1PPP1/PP2P3/RBBKP3/a5Q1 Aa;Bc2-d1;2
37;1;107395;0;2b4A/1p2kqbr/r1p2ppp/2ppnpNR/2N1PPP1/PP2P3/RB1KP3/a2B2Q1 Aa;Bc8-e6;585
38;0;119986;0;7A/1p2kqbr/r1p1bppp/2ppnpNR/2N1PPP1/PP2P3/RB1KP3/a2B2Q1 Aa;Qg1-e1;1
39;1;106810;0;7A/1p2kqbr/r1p1bppp/2ppnpNR/2N1PPP1/PP2P3/RB1KP3/a2BQ3 Aa;Ke7-d7;484
40;0;119985;0;7A/1p1k1qbr/r1p1bppp/2ppnpNR/2N1PPP1/PP2P3/RB1KP3/a2BQ3 Aa;Qe1-h4;147
41;1;106326;0;7A/1p1k1qbr/r1p1bppp/2ppnpNR/2N1PPPQ/PP2P3/RB1KP3/a2B4 Aa;Bg7-f8;664
42;0;119838;0;5b1A/1p1k1q1r/r1p1bppp/2ppnpNR/2N1PPPQ/PP2P3/RB1KP3/a2B4 Aa;Bd1-c2;627
43;1;105662;0;5b1A/1p1k1q1r/r1p1bppp/2ppnpNR/2N1PPPQ/PP2P3/RBBKP3/a7 Aa;Rh7-g7;219
44;0;119211;0;5b1A/1p1k1qr1/r1p1bppp/2ppnpNR/2N1PPPQ/PP2P3/RBBKP3/a7 Aa;Ah8-g8;147
45;1;105443;0;5bA1/1p1k1qr1/r1p1bppp/2ppnpNR/2N1PPPQ/PP2P3/RBBKP3/a7 a;Pc6-b5;1687
46;0;119064;0;5bA1/1p1k1qr1/r3bppp/1pppnpNR/2N1PPPQ/PP2P3/RBBKP3/a7 a;Pe2-d3;801
47;1;103756;0;5bA1/1p1k1qr1/r3bppp/1pppnpNR/2N1PPPQ/PP1PP3/RBBK4/a7 a;Bf8-e7;555
48;0;118263;0;6A1/1p1kbqr1/r3bppp/1pppnpNR/2N1PPPQ/PP1PP3/RBBK4/a7 a;Kd2-e1;725
49;1;103201;0;6A1/1p1kbqr1/r3bppp/1pppnpNR/2N1PPPQ/PP1PP3/RBB5/a3K3 a;Pb7-c6;427
