GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;2;Group04Ki;120000,0
1;4;Group06BasicKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Nd2-c4;1
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/2N5/PPPPPP2/RBN2P2/aQKBRP2 Aa;Pg6-f5;391
2;0;119999;0;2prbkqA/2p1nnbr/2pppp1p/5p2/2N5/PPPPPP2/RBN2P2/aQKBRP2 Aa;Re1-e2;0
3;1;119609;0;2prbkqA/2p1nnbr/2pppp1p/5p2/2N5/PPPPPP2/RBN1RP2/aQKB1P2 Aa;Pc8-d7;380
4;0;119999;0;3rbkqA/2ppnnbr/2pppp1p/5p2/2N5/PPPPPP2/RBN1RP2/aQKB1P2 Aa;Nc4-d2;2
5;1;119229;0;3rbkqA/2ppnnbr/2pppp1p/5p2/8/PPPPPP2/RBNNRP2/aQKB1P2 Aa;Ph6-g5;369
6;0;119997;0;3rbkqA/2ppnnbr/2pppp2/5pp1/8/PPPPPP2/RBNNRP2/aQKB1P2 Aa;Nc2-b4;1
7;1;118860;0;3rbkqA/2ppnnbr/2pppp2/5pp1/1N6/PPPPPP2/RB1NRP2/aQKB1P2 Aa;Bg7-h6;680
8;0;119996;0;3rbkqA/2ppnn1r/2pppp1b/5pp1/1N6/PPPPPP2/RB1NRP2/aQKB1P2 Aa;Re2-e1;2
9;1;118180;0;3rbkqA/2ppnn1r/2pppp1b/5pp1/1N6/PPPPPP2/RB1N1P2/aQKBRP2 Aa;Qg8-g6;544
10;0;119994;0;3rbk1A/2ppnn1r/2ppppqb/5pp1/1N6/PPPPPP2/RB1N1P2/aQKBRP2 Aa;Pf2-g3;1
11;1;117636;0;3rbk1A/2ppnn1r/2ppppqb/5pp1/1N6/PPPPPPP1/RB1N4/aQKBRP2 Aa;Pc6-d5;729
12;0;119993;0;3rbk1A/2ppnn1r/3pppqb/3p1pp1/1N6/PPPPPPP1/RB1N4/aQKBRP2 Aa;Nb4xd5;2
13;1;116907;0;3rbk1A/2ppnn1r/3pppqb/3N1pp1/8/PPPPPPP1/RB1N4/aQKBRP2 Aa;Pd6xd5;363
14;0;119991;0;3rbk1A/2ppnn1r/4ppqb/3p1pp1/8/PPPPPPP1/RB1N4/aQKBRP2 Aa;Bd1-e2;2
15;1;116544;0;3rbk1A/2ppnn1r/4ppqb/3p1pp1/8/PPPPPPP1/RB1NB3/aQK1RP2 Aa;Nf7-e5;549
16;0;119989;0;3rbk1A/2ppn2r/4ppqb/3pnpp1/8/PPPPPPP1/RB1NB3/aQK1RP2 Aa;Kc1-c2;1
17;1;115995;0;3rbk1A/2ppn2r/4ppqb/3pnpp1/8/PPPPPPP1/RBKNB3/aQ2RP2 Aa;Be8-f7;809
18;0;119988;0;3r1k1A/2ppnb1r/4ppqb/3pnpp1/8/PPPPPPP1/RBKNB3/aQ2RP2 Aa;Pb3-a4;0
19;1;115186;0;3r1k1A/2ppnb1r/4ppqb/3pnpp1/P7/P1PPPPP1/RBKNB3/aQ2RP2 Aa;Rd8-b8;663
