GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;1;KartoffelKI;120000,0
1;5;BasicKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Nd2-e4;662
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4N3/PPPPPP2/RBN2P2/aQKBRP2 Aa;Pc8-d7;6
2;0;119338;0;3rbkqA/2ppnnbr/2pppppp/8/4N3/PPPPPP2/RBN2P2/aQKBRP2 Aa;Pf1-e2;1115
3;1;119994;0;3rbkqA/2ppnnbr/2pppppp/8/4N3/PPPPPP2/RBN1PP2/aQKBR3 Aa;Rd8-c8;6
4;0;118223;0;2r1bkqA/2ppnnbr/2pppppp/8/4N3/PPPPPP2/RBN1PP2/aQKBR3 Aa;Re1-h1;1134
5;1;119988;0;2r1bkqA/2ppnnbr/2pppppp/8/4N3/PPPPPP2/RBN1PP2/aQKB3R Aa;Rc8-b8;7
6;0;117089;0;1r2bkqA/2ppnnbr/2pppppp/8/4N3/PPPPPP2/RBN1PP2/aQKB3R Aa;Nc2-e1;2069
7;1;119981;0;1r2bkqA/2ppnnbr/2pppppp/8/4N3/PPPPPP2/RB2PP2/aQKBN2R Aa;Rb8-b7;9
8;0;115020;0;4bkqA/1rppnnbr/2pppppp/8/4N3/PPPPPP2/RB2PP2/aQKBN2R Aa;Rh1-h4;1831
9;1;119972;0;4bkqA/1rppnnbr/2pppppp/8/4N2R/PPPPPP2/RB2PP2/aQKBN3 Aa;Rb7-b6;8
10;0;113189;0;4bkqA/2ppnnbr/1rpppppp/8/4N2R/PPPPPP2/RB2PP2/aQKBN3 Aa;Ne1-g2;2370
11;1;119964;0;4bkqA/2ppnnbr/1rpppppp/8/4N2R/PPPPPP2/RB2PPN1/aQKB4 Aa;Ne7-d5;8
12;0;110819;0;4bkqA/2pp1nbr/1rpppppp/3n4/4N2R/PPPPPP2/RB2PPN1/aQKB4 Aa;Bd1-c2;1594
13;1;119956;0;4bkqA/2pp1nbr/1rpppppp/3n4/4N2R/PPPPPP2/RBB1PPN1/aQK5 Aa;Kf8-e7;8
14;0;109225;0;4b1qA/2ppknbr/1rpppppp/3n4/4N2R/PPPPPP2/RBB1PPN1/aQK5 Aa;Pe3-d4;1705
15;1;119948;0;4b1qA/2ppknbr/1rpppppp/3n4/3PN2R/PPPP1P2/RBB1PPN1/aQK5 Aa;Rb6xb3;3
16;0;107520;0;4b1qA/2ppknbr/2pppppp/3n4/3PN2R/PrPP1P2/RBB1PPN1/aQK5 Aa;Bc2xb3;1224
17;1;119945;0;4b1qA/2ppknbr/2pppppp/3n4/3PN2R/PBPP1P2/RB2PPN1/aQK5 Aa;Qg8-f8;8
18;0;106296;0;4bq1A/2ppknbr/2pppppp/3n4/3PN2R/PBPP1P2/RB2PPN1/aQK5 Aa;Pd4xd5;711
19;1;119937;0;4bq1A/2ppknbr/2pppppp/3P4/4N2R/PBPP1P2/RB2PPN1/aQK5 Aa;Qf8-g8;7
