GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;4;Group06BasicKI;120000,0
1;2;Group04Ki;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pf3-e4;313
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPPPP3/RBNN1P2/aQKBRP2 Aa;Be8-d7;0
2;0;119687;0;2pr1kqA/2pbnnbr/2pppppp/8/4P3/PPPPP3/RBNN1P2/aQKBRP2 Aa;Pe3-d4;268
3;1;120000;0;2pr1kqA/2pbnnbr/2pppppp/8/3PP3/PPPP4/RBNN1P2/aQKBRP2 Aa;Ph6-g5;1
4;0;119419;0;2pr1kqA/2pbnnbr/2ppppp1/6p1/3PP3/PPPP4/RBNN1P2/aQKBRP2 Aa;Pc3-b4;502
5;1;119999;0;2pr1kqA/2pbnnbr/2ppppp1/6p1/1P1PP3/PP1P4/RBNN1P2/aQKBRP2 Aa;Rh7-h4;0
6;0;118917;0;2pr1kqA/2pbnnb1/2ppppp1/6p1/1P1PP2r/PP1P4/RBNN1P2/aQKBRP2 Aa;Bd1-f3;223
7;1;119999;0;2pr1kqA/2pbnnb1/2ppppp1/6p1/1P1PP2r/PP1P1B2/RBNN1P2/aQK1RP2 Aa;Bd7-e8;1
8;0;118694;0;2prbkqA/2p1nnb1/2ppppp1/6p1/1P1PP2r/PP1P1B2/RBNN1P2/aQK1RP2 Aa;Nc2-e3;315
9;1;119998;0;2prbkqA/2p1nnb1/2ppppp1/6p1/1P1PP2r/PP1PNB2/RB1N1P2/aQK1RP2 Aa;Nf7-e5;2
10;0;118379;0;2prbkqA/2p1n1b1/2ppppp1/4n1p1/1P1PP2r/PP1PNB2/RB1N1P2/aQK1RP2 Aa;Qb1-c2;442
