GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;3;BasicKI;120000,0
1;2;Group04Ki;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pd3-e4;765
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Pg6-f5;1
2;0;119235;0;2prbkqA/2p1nnbr/2pppp1p/5p2/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Ah8-g6;221
3;1;119999;0;2prbkq1/2p1nnbr/2ppppAp/5p2/4P3/PPP1PP2/RBNN1P2/aQKBRP2 a;Nf7-h8;1
4;0;119014;0;2prbkqn/2p1n1br/2ppppAp/5p2/4P3/PPP1PP2/RBNN1P2/aQKBRP2 a;Ag6-h5;405
5;1;119998;0;2prbkqn/2p1n1br/2pppp1p/5p1A/4P3/PPP1PP2/RBNN1P2/aQKBRP2 a;Pc7-b6;1
6;0;118609;0;2prbkqn/4n1br/1ppppp1p/5p1A/4P3/PPP1PP2/RBNN1P2/aQKBRP2 a;Nd2-c4;624
7;1;119997;0;2prbkqn/4n1br/1ppppp1p/5p1A/2N1P3/PPP1PP2/RBN2P2/aQKBRP2 a;Ne7-g6;1
8;0;117985;0;2prbkqn/6br/1pppppnp/5p1A/2N1P3/PPP1PP2/RBN2P2/aQKBRP2 a;Nc4xb6;375
9;1;119996;0;2prbkqn/6br/1Nppppnp/5p1A/4P3/PPP1PP2/RBN2P2/aQKBRP2 a;Ng6-e7;1
10;0;117610;0;2prbkqn/4n1br/1Npppp1p/5p1A/4P3/PPP1PP2/RBN2P2/aQKBRP2 a;Nb6-d7;490
11;1;119995;0;2prbkqn/3Nn1br/2pppp1p/5p1A/4P3/PPP1PP2/RBN2P2/aQKBRP2 a;Rd8xd7;0
12;0;117120;0;2p1bkqn/3rn1br/2pppp1p/5p1A/4P3/PPP1PP2/RBN2P2/aQKBRP2 a;Re1-e2;550
13;1;119995;0;2p1bkqn/3rn1br/2pppp1p/5p1A/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Kf8-f7;0
14;0;116570;0;2p1b1qn/3rnkbr/2pppp1p/5p1A/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Pc3-b4;477
15;1;119995;0;2p1b1qn/3rnkbr/2pppp1p/5p1A/1P2P3/PP2PP2/RBN1RP2/aQKB1P2 a;Pc6-b5;1
16;0;116093;0;2p1b1qn/3rnkbr/3ppp1p/1p3p1A/1P2P3/PP2PP2/RBN1RP2/aQKB1P2 a;Pe4-d5;539
17;1;119994;0;2p1b1qn/3rnkbr/3ppp1p/1p1P1p1A/1P6/PP2PP2/RBN1RP2/aQKB1P2 a;Qg8-f8;0
18;0;115554;0;2p1bq1n/3rnkbr/3ppp1p/1p1P1p1A/1P6/PP2PP2/RBN1RP2/aQKB1P2 a;Pb3-a4;1017
19;1;119994;0;2p1bq1n/3rnkbr/3ppp1p/1p1P1p1A/PP6/P3PP2/RBN1RP2/aQKB1P2 a;Ne7-g8;2
20;0;114537;0;2p1bqnn/3r1kbr/3ppp1p/1p1P1p1A/PP6/P3PP2/RBN1RP2/aQKB1P2 a;Re2-d2;721
21;1;119992;0;2p1bqnn/3r1kbr/3ppp1p/1p1P1p1A/PP6/P3PP2/RBNR1P2/aQKB1P2 a;Pf5-e4;0
22;0;113816;0;2p1bqnn/3r1kbr/3ppp1p/1p1P3A/PP2p3/P3PP2/RBNR1P2/aQKB1P2 a;Pd5xd6;1852
23;1;119992;0;2p1bqnn/3r1kbr/3Ppp1p/1p5A/PP2p3/P3PP2/RBNR1P2/aQKB1P2 a;Rd7-d8;2
