GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;4;Group06BasicKI;120000,0
1;6;Nidoran;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pf3-e4;218
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPPPP3/RBNN1P2/aQKBRP2 Aa;Be8-d7;559
2;0;119782;0;2pr1kqA/2pbnnbr/2pppppp/8/4P3/PPPPP3/RBNN1P2/aQKBRP2 Aa;Pe3-d4;259
3;1;119441;0;2pr1kqA/2pbnnbr/2pppppp/8/3PP3/PPPP4/RBNN1P2/aQKBRP2 Aa;Ne7-d5;1131
4;0;119523;0;2pr1kqA/2pb1nbr/2pppppp/3n4/3PP3/PPPP4/RBNN1P2/aQKBRP2 Aa;Pc3-b4;285
5;1;118310;0;2pr1kqA/2pb1nbr/2pppppp/3n4/1P1PP3/PP1P4/RBNN1P2/aQKBRP2 Aa;Nf7-e5;67
6;0;119238;0;2pr1kqA/2pb2br/2pppppp/3nn3/1P1PP3/PP1P4/RBNN1P2/aQKBRP2 Aa;Nc2-e3;123
7;1;118243;0;2pr1kqA/2pb2br/2pppppp/3nn3/1P1PP3/PP1PN3/RB1N1P2/aQKBRP2 Aa;Qg8-f7;89
8;0;119115;0;2pr1k1A/2pb1qbr/2pppppp/3nn3/1P1PP3/PP1PN3/RB1N1P2/aQKBRP2 Aa;Bd1-f3;356
9;1;118154;0;2pr1k1A/2pb1qbr/2pppppp/3nn3/1P1PP3/PP1PNB2/RB1N1P2/aQK1RP2 Aa;Pc8-b7;454
10;0;118759;0;3r1k1A/1ppb1qbr/2pppppp/3nn3/1P1PP3/PP1PNB2/RB1N1P2/aQK1RP2 Aa;Qb1-c2;445
11;1;117700;0;3r1k1A/1ppb1qbr/2pppppp/3nn3/1P1PP3/PP1PNB2/RBQN1P2/a1K1RP2 Aa;Rd8-c8;752
12;0;118314;0;2r2k1A/1ppb1qbr/2pppppp/3nn3/1P1PP3/PP1PNB2/RBQN1P2/a1K1RP2 Aa;Pf1-g2;703
13;1;116948;0;2r2k1A/1ppb1qbr/2pppppp/3nn3/1P1PP3/PP1PNB2/RBQN1PP1/a1K1R3 Aa;Rc8-b8;897
14;0;117611;0;1r3k1A/1ppb1qbr/2pppppp/3nn3/1P1PP3/PP1PNB2/RBQN1PP1/a1K1R3 Aa;Bb2-c3;745
15;1;116051;0;1r3k1A/1ppb1qbr/2pppppp/3nn3/1P1PP3/PPBPNB2/R1QN1PP1/a1K1R3 Aa;Rb8-a8;1778
16;0;116866;0;r4k1A/1ppb1qbr/2pppppp/3nn3/1P1PP3/PPBPNB2/R1QN1PP1/a1K1R3 Aa;Pb3-a4;804
17;1;114273;0;r4k1A/1ppb1qbr/2pppppp/3nn3/PP1PP3/P1BPNB2/R1QN1PP1/a1K1R3 Aa;Ra8-a7;1559
18;0;116062;0;5k1A/rppb1qbr/2pppppp/3nn3/PP1PP3/P1BPNB2/R1QN1PP1/a1K1R3 Aa;Pa4-b5;832
19;1;112714;0;5k1A/rppb1qbr/2pppppp/1P1nn3/1P1PP3/P1BPNB2/R1QN1PP1/a1K1R3 Aa;Kf8-e7;492
20;0;115230;0;7A/rppbkqbr/2pppppp/1P1nn3/1P1PP3/P1BPNB2/R1QN1PP1/a1K1R3 Aa;Ra2-b2;795
21;1;112222;0;7A/rppbkqbr/2pppppp/1P1nn3/1P1PP3/P1BPNB2/1RQN1PP1/a1K1R3 Aa;Aa1-a2;123
22;0;114435;0;7A/rppbkqbr/2pppppp/1P1nn3/1P1PP3/P1BPNB2/aRQN1PP1/2K1R3 A;Pb5-a6;689
23;1;112099;0;7A/rppbkqbr/P1pppppp/3nn3/1P1PP3/P1BPNB2/aRQN1PP1/2K1R3 A;Bd7-c8;72
24;0;113746;0;2b4A/rpp1kqbr/P1pppppp/3nn3/1P1PP3/P1BPNB2/aRQN1PP1/2K1R3 A;Ne3-f5;362
25;1;112027;0;2b4A/rpp1kqbr/P1pppppp/3nnN2/1P1PP3/P1BP1B2/aRQN1PP1/2K1R3 A;Pf6xf5;124
