GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;2;Group04Ki;120000,0
1;1;KartoffelKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pa3-b4;1
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/1P6/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pc6-b5;716
2;0;119999;0;2prbkqA/2p1nnbr/3ppppp/1p6/1P6/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pb4-c5;1
3;1;119284;0;2prbkqA/2p1nnbr/3ppppp/1pP5/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pf6-g5;1316
4;0;119998;0;2prbkqA/2p1nnbr/3pp1pp/1pP3p1/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Nd2-e4;1
5;1;117968;0;2prbkqA/2p1nnbr/3pp1pp/1pP3p1/4N3/1PPPPP2/RBN2P2/aQKBRP2 Aa;Pd6-e5;1254
6;0;119997;0;2prbkqA/2p1nnbr/4p1pp/1pP1p1p1/4N3/1PPPPP2/RBN2P2/aQKBRP2 Aa;Re1-e2;1
7;1;116714;0;2prbkqA/2p1nnbr/4p1pp/1pP1p1p1/4N3/1PPPPP2/RBN1RP2/aQKB1P2 Aa;Pe5xe4;392
8;0;119996;0;2prbkqA/2p1nnbr/4p1pp/1pP3p1/4p3/1PPPPP2/RBN1RP2/aQKB1P2 Aa;Ra2-a6;0
9;1;116322;0;2prbkqA/2p1nnbr/R3p1pp/1pP3p1/4p3/1PPPPP2/1BN1RP2/aQKB1P2 Aa;Nf7-e5;1808
10;0;119996;0;2prbkqA/2p1n1br/R3p1pp/1pP1n1p1/4p3/1PPPPP2/1BN1RP2/aQKB1P2 Aa;Ra6-a4;1
11;1;114514;0;2prbkqA/2p1n1br/4p1pp/1pP1n1p1/R3p3/1PPPPP2/1BN1RP2/aQKB1P2 Aa;Ne5xd3;449
12;0;119995;0;2prbkqA/2p1n1br/4p1pp/1pP3p1/R3p3/1PPnPP2/1BN1RP2/aQKB1P2 Aa;Kc1-d2;1
13;1;114065;0;2prbkqA/2p1n1br/4p1pp/1pP3p1/R3p3/1PPnPP2/1BNKRP2/aQ1B1P2 Aa;Nd3xb2;454
14;0;119994;0;2prbkqA/2p1n1br/4p1pp/1pP3p1/R3p3/1PP1PP2/1nNKRP2/aQ1B1P2 Aa;Pe3-d4;0
15;1;113611;0;2prbkqA/2p1n1br/4p1pp/1pP3p1/R2Pp3/1PP2P2/1nNKRP2/aQ1B1P2 Aa;Nb2xa4;513
16;0;119994;0;2prbkqA/2p1n1br/4p1pp/1pP3p1/n2Pp3/1PP2P2/2NKRP2/aQ1B1P2 Aa;Re2-e1;1
17;1;113098;0;2prbkqA/2p1n1br/4p1pp/1pP3p1/n2Pp3/1PP2P2/2NK1P2/aQ1BRP2 Aa;Na4xc5;467
18;0;119993;0;2prbkqA/2p1n1br/4p1pp/1pn3p1/3Pp3/1PP2P2/2NK1P2/aQ1BRP2 Aa;Qb1-b2;1
19;1;112631;0;2prbkqA/2p1n1br/4p1pp/1pn3p1/3Pp3/1PP2P2/1QNK1P2/a2BRP2 Aa;Bg7xd4;832
20;0;119992;0;2prbkqA/2p1n2r/4p1pp/1pn3p1/3bp3/1PP2P2/1QNK1P2/a2BRP2 Aa;Nc2-a3;1
21;1;111799;0;2prbkqA/2p1n2r/4p1pp/1pn3p1/3bp3/NPP2P2/1Q1K1P2/a2BRP2 Aa;Bd4xf2;554
22;0;119991;0;2prbkqA/2p1n2r/4p1pp/1pn3p1/4p3/NPP2P2/1Q1K1b2/a2BRP2 Aa;Kd2-e2;1
23;1;111245;0;2prbkqA/2p1n2r/4p1pp/1pn3p1/4p3/NPP2P2/1Q2Kb2/a2BRP2 Aa;Bf2xe1;928
24;0;119990;0;2prbkqA/2p1n2r/4p1pp/1pn3p1/4p3/NPP2P2/1Q2K3/a2BbP2 Aa;Qb2-b1;1
25;1;110317;0;2prbkqA/2p1n2r/4p1pp/1pn3p1/4p3/NPP2P2/4K3/aQ1BbP2 Aa;Rd8xd1;960
26;0;119989;0;2p1bkqA/2p1n2r/4p1pp/1pn3p1/4p3/NPP2P2/4K3/aQ1rbP2 Aa;Qb1-a2;1
27;1;109357;0;2p1bkqA/2p1n2r/4p1pp/1pn3p1/4p3/NPP2P2/Q3K3/a2rbP2 Aa;Be1xc3;1284
28;0;119988;0;2p1bkqA/2p1n2r/4p1pp/1pn3p1/4p3/NPb2P2/Q3K3/a2r1P2 Aa;Pb3-a4;1
29;1;108073;0;2p1bkqA/2p1n2r/4p1pp/1pn3p1/P3p3/N1b2P2/Q3K3/a2r1P2 Aa;Rd1-e1;728
30;0;119987;0;2p1bkqA/2p1n2r/4p1pp/1pn3p1/P3p3/N1b2P2/Q3K3/a3rP2 Aa;Ke2-f2;1
31;1;107345;0;2p1bkqA/2p1n2r/4p1pp/1pn3p1/P3p3/N1b2P2/Q4K2/a3rP2 Aa;Nc5-d3;2635
32;0;119986;0;2p1bkqA/2p1n2r/4p1pp/1p4p1/P3p3/N1bn1P2/Q4K2/a3rP2 Aa;Kf2-g3;1
33;1;104710;0;2p1bkqA/2p1n2r/4p1pp/1p4p1/P3p3/N1bn1PK1/Q7/a3rP2 Aa;Aa1-c2;795
34;0;119985;0;2p1bkqA/2p1n2r/4p1pp/1p4p1/P3p3/N1bn1PK1/Q1a5/4rP2 A;Qa2-b3;1
35;1;103915;0;2p1bkqA/2p1n2r/4p1pp/1p4p1/P3p3/NQbn1PK1/2a5/4rP2 A;Ne7-f5;3079
36;0;119984;0;2p1bkqA/2p4r/4p1pp/1p3np1/P3p3/NQbn1PK1/2a5/4rP2 A;Kg3-h3;1
37;1;100836;0;2p1bkqA/2p4r/4p1pp/1p3np1/P3p3/NQbn1P1K/2a5/4rP2 A;Pg5-h4;4283
38;0;119983;0;2p1bkqA/2p4r/4p1pp/1p3n2/P3p2p/NQbn1P1K/2a5/4rP2 A;Kh3-g4;0
39;1;96553;0;2p1bkqA/2p4r/4p1pp/1p3n2/P3p1Kp/NQbn1P2/2a5/4rP2 A;Ph6-g5;1918
40;0;119983;0;2p1bkqA/2p4r/4p1p1/1p3np1/P3p1Kp/NQbn1P2/2a5/4rP2 A;Kg4xf5;249
41;1;94635;0;2p1bkqA/2p4r/4p1p1/1p3Kp1/P3p2p/NQbn1P2/2a5/4rP2 A;Qg8-f7;919
end; - ; - ; - ;2p1bk1A/2p2q1r/4p1p1/1p3Kp1/P3p2p/NQbn1P2/2a5/4rP2 A; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;2;Group04Ki;120000,0;0;119734
1;1;KartoffelKI;120000,0;1;93716
