GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;0;BasicKI;120000,0
1;6;Nidoran;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pd3-e4;735
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Pc8-b7;601
2;0;119265;0;3rbkqA/1pp1nnbr/2pppppp/8/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Nd2-c4;892
3;1;119399;0;3rbkqA/1pp1nnbr/2pppppp/8/2N1P3/PPP1PP2/RBN2P2/aQKBRP2 Aa;Be8-d7;85
4;0;118373;0;3r1kqA/1ppbnnbr/2pppppp/8/2N1P3/PPP1PP2/RBN2P2/aQKBRP2 Aa;Nc4-a5;622
5;1;119314;0;3r1kqA/1ppbnnbr/2pppppp/N7/4P3/PPP1PP2/RBN2P2/aQKBRP2 Aa;Ne7-d5;175
6;0;117751;0;3r1kqA/1ppb1nbr/2pppppp/N2n4/4P3/PPP1PP2/RBN2P2/aQKBRP2 Aa;Re1-e2;1670
7;1;119139;0;3r1kqA/1ppb1nbr/2pppppp/N2n4/4P3/PPP1PP2/RBN1RP2/aQKB1P2 Aa;Nf7-e5;202
8;0;116081;0;3r1kqA/1ppb2br/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 Aa;Ah8-f7;1602
9;1;118937;0;3r1kq1/1ppb1Abr/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Qg8-h8;128
10;0;114479;0;3r1k1q/1ppb1Abr/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Af7-e7;2083
11;1;118809;0;3r1k1q/1ppbA1br/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Rd8-c8;745
12;0;112396;0;2r2k1q/1ppbA1br/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Ae7-f7;1521
13;1;118064;0;2r2k1q/1ppb1Abr/2pppppp/N2nn3/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Pe6-f5;232
14;0;110875;0;2r2k1q/1ppb1Abr/2pp1ppp/N2nnp2/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Af7-e7;2151
15;1;117832;0;2r2k1q/1ppbA1br/2pp1ppp/N2nnp2/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Kf8-f7;65
16;0;108724;0;2r4q/1ppbAkbr/2pp1ppp/N2nnp2/4P3/PPP1PP2/RBN1RP2/aQKB1P2 a;Re2-d2;1581
17;1;117767;0;2r4q/1ppbAkbr/2pp1ppp/N2nnp2/4P3/PPP1PP2/RBNR1P2/aQKB1P2 a;Pf6-g5;120
18;0;107143;0;2r4q/1ppbAkbr/2pp2pp/N2nnpp1/4P3/PPP1PP2/RBNR1P2/aQKB1P2 a;Rd2-d3;2702
19;1;117647;0;2r4q/1ppbAkbr/2pp2pp/N2nnpp1/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Pd6-c5;138
20;0;104441;0;2r4q/1ppbAkbr/2p3pp/N1pnnpp1/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Ae7-f6;3067
21;1;117509;0;2r4q/1ppb1kbr/2p2App/N1pnnpp1/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Pg6-h5;560
22;0;101374;0;2r4q/1ppb1kbr/2p2A1p/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Af6-g6;2374
23;1;116949;0;2r4q/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Rc8-b8;544
24;0;99000;0;1r5q/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Rd3-d2;2978
25;1;116405;0;1r5q/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPP1PP2/RBNR1P2/aQKB1P2 a;Qh8-d8;271
26;0;96022;0;1r1q4/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPP1PP2/RBNR1P2/aQKB1P2 a;Rd2-d3;1732
27;1;116134;0;1r1q4/1ppb1kbr/2p3Ap/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Bg7-h8;670
28;0;94290;0;1r1q3b/1ppb1k1r/2p3Ap/N1pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Na5xb7;1893
29;1;115464;0;1r1q3b/1Npb1k1r/2p3Ap/2pnnppp/4P3/PPPRPP2/RBN2P2/aQKB1P2 a;Ne5xd3;287
end; - ; - ; - ;1r1q3b/1Npb1k1r/2p3Ap/2pn1ppp/4P3/PPPnPP2/RBN2P2/aQKB1P2 a; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;0;BasicKI;120000,0;0;92397
1;6;Nidoran;120000,0;1;115177
