GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;6;Nidoran;120000,0
1;3;BasicKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pc3-b4;1172
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/1P6/PP1PPP2/RBNN1P2/aQKBRP2 Aa;Ne7-f5;478
2;0;118828;0;2prbkqA/2p2nbr/2pppppp/5n2/1P6/PP1PPP2/RBNN1P2/aQKBRP2 Aa;Nc2-d4;90
3;1;119522;0;2prbkqA/2p2nbr/2pppppp/5n2/1P1N4/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Nf5xd4;481
4;0;118738;0;2prbkqA/2p2nbr/2pppppp/8/1P1n4/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Bb2xd4;102
5;1;119041;0;2prbkqA/2p2nbr/2pppppp/8/1P1B4/PP1PPP2/R2N1P2/aQKBRP2 Aa;Pc6-d5;742
6;0;118636;0;2prbkqA/2p2nbr/3ppppp/3p4/1P1B4/PP1PPP2/R2N1P2/aQKBRP2 Aa;Bd4xf6;287
7;1;118299;0;2prbkqA/2p2nbr/3ppBpp/3p4/1P6/PP1PPP2/R2N1P2/aQKBRP2 Aa;Bg7xf6;556
8;0;118349;0;2prbkqA/2p2n1r/3ppbpp/3p4/1P6/PP1PPP2/R2N1P2/aQKBRP2 Aa;Pe3-d4;145
9;1;117743;0;2prbkqA/2p2n1r/3ppbpp/3p4/1P1P4/PP1P1P2/R2N1P2/aQKBRP2 Aa;Qg8-g7;1019
10;0;118204;0;2prbk1A/2p2nqr/3ppbpp/3p4/1P1P4/PP1P1P2/R2N1P2/aQKBRP2 Aa;Pd4-e5;305
11;1;116724;0;2prbk1A/2p2nqr/3ppbpp/3pP3/1P6/PP1P1P2/R2N1P2/aQKBRP2 Aa;Nf7xe5;1001
12;0;117899;0;2prbk1A/2p3qr/3ppbpp/3pn3/1P6/PP1P1P2/R2N1P2/aQKBRP2 Aa;Kc1-c2;301
13;1;115723;0;2prbk1A/2p3qr/3ppbpp/3pn3/1P6/PP1P1P2/R1KN1P2/aQ1BRP2 Aa;Be8-b5;1965
14;0;117598;0;2pr1k1A/2p3qr/3ppbpp/1b1pn3/1P6/PP1P1P2/R1KN1P2/aQ1BRP2 Aa;Pd3-c4;205
15;1;113758;0;2pr1k1A/2p3qr/3ppbpp/1b1pn3/1PP5/PP3P2/R1KN1P2/aQ1BRP2 Aa;Pd6-c5;2078
16;0;117393;0;2pr1k1A/2p3qr/4pbpp/1bppn3/1PP5/PP3P2/R1KN1P2/aQ1BRP2 Aa;Pb4-a5;198
17;1;111680;0;2pr1k1A/2p3qr/4pbpp/Pbppn3/2P5/PP3P2/R1KN1P2/aQ1BRP2 Aa;Pg6-f5;2058
18;0;117195;0;2pr1k1A/2p3qr/4pb1p/Pbppnp2/2P5/PP3P2/R1KN1P2/aQ1BRP2 Aa;Pa5-b6;233
19;1;109622;0;2pr1k1A/2p3qr/1P2pb1p/1bppnp2/2P5/PP3P2/R1KN1P2/aQ1BRP2 Aa;Bf6-h4;2511
20;0;116962;0;2pr1k1A/2p3qr/1P2p2p/1bppnp2/2P4b/PP3P2/R1KN1P2/aQ1BRP2 Aa;Ah8-f7;71
21;1;107111;0;2pr1k2/2p2Aqr/1P2p2p/1bppnp2/2P4b/PP3P2/R1KN1P2/aQ1BRP2 a;Kf8-e7;2024
22;0;116891;0;2pr4/2p1kAqr/1P2p2p/1bppnp2/2P4b/PP3P2/R1KN1P2/aQ1BRP2 a;Af7-f6;830
23;1;105087;0;2pr4/2p1k1qr/1P2pA1p/1bppnp2/2P4b/PP3P2/R1KN1P2/aQ1BRP2 a;Qg7-g3;3769
24;0;116061;0;2pr4/2p1k2r/1P2pA1p/1bppnp2/2P4b/PP3Pq1/R1KN1P2/aQ1BRP2 a;Af6-f7;738
25;1;101318;0;2pr4/2p1kA1r/1P2p2p/1bppnp2/2P4b/PP3Pq1/R1KN1P2/aQ1BRP2 a;Qg3xf3;4086
26;0;115323;0;2pr4/2p1kA1r/1P2p2p/1bppnp2/2P4b/PP3q2/R1KN1P2/aQ1BRP2 a;Nd2xf3;329
27;1;97232;0;2pr4/2p1kA1r/1P2p2p/1bppnp2/2P4b/PP3N2/R1K2P2/aQ1BRP2 a;Aa1-b2;2403
28;0;114994;0;2pr4/2p1kA1r/1P2p2p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Af7-e8;221
29;1;94829;0;2prA3/2p1k2r/1P2p2p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Rd8-d7;2516
30;0;114773;0;2p1A3/2prk2r/1P2p2p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Ae8-d8;282
31;1;92313;0;2pA4/2prk2r/1P2p2p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Pc8-b7;2263
32;0;114491;0;3A4/1pprk2r/1P2p2p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Pb6xb7;557
33;1;90050;0;3A4/1Pprk2r/4p2p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Ke7-f6;6221
34;0;113934;0;3A4/1Ppr3r/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Ad8-e7;460
35;1;83829;0;8/1PprA2r/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Rh7-h8;5551
36;0;113474;0;7r/1PprA3/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Ae7-d8;192
37;1;78278;0;3A3r/1Ppr4/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Rh8-h7;5408
38;0;113282;0;3A4/1Ppr3r/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Ad8-e7;474
39;1;72870;0;8/1PprA2r/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Rh7-h8;5766
40;0;112808;0;7r/1PprA3/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Ae7-d8;208
41;1;67104;0;3A3r/1Ppr4/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -;Rh8-h7;5412
end; - ; - ; - ;3A4/1Ppr3r/4pk1p/1bppnp2/2P4b/PP3N2/RaK2P2/1Q1BRP2 -; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;6;Nidoran;120000,0;0;112600
1;3;BasicKI;120000,0;0;61692
