GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;6;Nidoran;120000,0
1;2;Group04Ki;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pc3-b4;1165
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/1P6/PP1PPP2/RBNN1P2/aQKBRP2 Aa;Ne7-f5;0
2;0;118835;0;2prbkqA/2p2nbr/2pppppp/5n2/1P6/PP1PPP2/RBNN1P2/aQKBRP2 Aa;Nc2-d4;91
3;1;120000;0;2prbkqA/2p2nbr/2pppppp/5n2/1P1N4/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Pe6-d5;1
4;0;118744;0;2prbkqA/2p2nbr/2pp1ppp/3p1n2/1P1N4/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Nd4xc6;63
5;1;119999;0;2prbkqA/2p2nbr/2Np1ppp/3p1n2/1P6/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Ph6-g5;0
6;0;118681;0;2prbkqA/2p2nbr/2Np1pp1/3p1np1/1P6/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Bb2-c3;214
7;1;119999;0;2prbkqA/2p2nbr/2Np1pp1/3p1np1/1P6/PPBPPP2/R2N1P2/aQKBRP2 Aa;Nf5xe3;1
8;0;118467;0;2prbkqA/2p2nbr/2Np1pp1/3p2p1/1P6/PPBPnP2/R2N1P2/aQKBRP2 Aa;Ra2-c2;320
9;1;119998;0;2prbkqA/2p2nbr/2Np1pp1/3p2p1/1P6/PPBPnP2/2RN1P2/aQKBRP2 Aa;Bg7-h6;1
10;0;118147;0;2prbkqA/2p2n1r/2Np1ppb/3p2p1/1P6/PPBPnP2/2RN1P2/aQKBRP2 Aa;Nc6-e5;108
11;1;119997;0;2prbkqA/2p2n1r/3p1ppb/3pN1p1/1P6/PPBPnP2/2RN1P2/aQKBRP2 Aa;Be8-a4;1
12;0;118039;0;2pr1kqA/2p2n1r/3p1ppb/3pN1p1/bP6/PPBPnP2/2RN1P2/aQKBRP2 Aa;Ah8-g7;52
13;1;119996;0;2pr1kq1/2p2nAr/3p1ppb/3pN1p1/bP6/PPBPnP2/2RN1P2/aQKBRP2 a;Aa1-a2;0
14;0;117987;0;2pr1kq1/2p2nAr/3p1ppb/3pN1p1/bP6/PPBPnP2/a1RN1P2/1QKBRP2 -;Ag7-h8;225
15;1;119996;0;2pr1kqA/2p2n1r/3p1ppb/3pN1p1/bP6/PPBPnP2/a1RN1P2/1QKBRP2 -;Ne3xd1;0
