GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;6;Nidoran;120000,0
1;1;KartoffelKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pc3-b4;1157
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/1P6/PP1PPP2/RBNN1P2/aQKBRP2 Aa;Pd6-c5;613
2;0;118843;0;2prbkqA/2p1nnbr/2p1pppp/2p5/1P6/PP1PPP2/RBNN1P2/aQKBRP2 Aa;Nc2-d4;72
3;1;119387;0;2prbkqA/2p1nnbr/2p1pppp/2p5/1P1N4/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Nf7-g5;1509
4;0;118771;0;2prbkqA/2p1n1br/2p1pppp/2p3n1/1P1N4/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Nd4xc6;84
5;1;117878;0;2prbkqA/2p1n1br/2N1pppp/2p3n1/1P6/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Ne7xc6;780
6;0;118687;0;2prbkqA/2p3br/2n1pppp/2p3n1/1P6/PP1PPP2/RB1N1P2/aQKBRP2 Aa;Bb2-c3;161
7;1;117098;0;2prbkqA/2p3br/2n1pppp/2p3n1/1P6/PPBPPP2/R2N1P2/aQKBRP2 Aa;Aa1-c2;1867
8;0;118526;0;2prbkqA/2p3br/2n1pppp/2p3n1/1P6/PPBPPP2/R1aN1P2/1QKBRP2 A;Bd1-e2;387
9;1;115231;0;2prbkqA/2p3br/2n1pppp/2p3n1/1P6/PPBPPP2/R1aNBP2/1QK1RP2 A;Ac2-d1;1917
10;0;118139;0;2prbkqA/2p3br/2n1pppp/2p3n1/1P6/PPBPPP2/R2NBP2/1QKaRP2 A;Bc3-d4;428
11;1;113314;0;2prbkqA/2p3br/2n1pppp/2p3n1/1P1B4/PP1PPP2/R2NBP2/1QKaRP2 A;Nc6xd4;1375
12;0;117711;0;2prbkqA/2p3br/4pppp/2p3n1/1P1n4/PP1PPP2/R2NBP2/1QKaRP2 A;Kc1-b2;317
13;1;111939;0;2prbkqA/2p3br/4pppp/2p3n1/1P1n4/PP1PPP2/RK1NBP2/1Q1aRP2 A;Nd4xe2;712
14;0;117394;0;2prbkqA/2p3br/4pppp/2p3n1/1P6/PP1PPP2/RK1NnP2/1Q1aRP2 A;Re1xe2;328
15;1;111227;0;2prbkqA/2p3br/4pppp/2p3n1/1P6/PP1PPP2/RK1NRP2/1Q1a1P2 A;Ad1-e1;945
16;0;117066;0;2prbkqA/2p3br/4pppp/2p3n1/1P6/PP1PPP2/RK1NRP2/1Q2aP2 A;Pf2-g3;279
17;1;110282;0;2prbkqA/2p3br/4pppp/2p3n1/1P6/PP1PPPP1/RK1NR3/1Q2aP2 A;Ae1-f2;1143
18;0;116787;0;2prbkqA/2p3br/4pppp/2p3n1/1P6/PP1PPPP1/RK1NRa2/1Q3P2 A;Pe3-f4;116
19;1;109139;0;2prbkqA/2p3br/4pppp/2p3n1/1P3P2/PP1P1PP1/RK1NRa2/1Q3P2 A;Ng5-h3;791
20;0;116671;0;2prbkqA/2p3br/4pppp/2p5/1P3P2/PP1P1PPn/RK1NRa2/1Q3P2 A;Pf4-g5;66
21;1;108348;0;2prbkqA/2p3br/4pppp/2p3P1/1P6/PP1P1PPn/RK1NRa2/1Q3P2 A;Nh3xg5;517
22;0;116605;0;2prbkqA/2p3br/4pppp/2p3n1/1P6/PP1P1PP1/RK1NRa2/1Q3P2 A;Pg3-h4;155
23;1;107831;0;2prbkqA/2p3br/4pppp/2p3n1/1P5P/PP1P1P2/RK1NRa2/1Q3P2 A;Ng5-h3;692
24;0;116450;0;2prbkqA/2p3br/4pppp/2p5/1P5P/PP1P1P1n/RK1NRa2/1Q3P2 A;Ph4-g5;479
25;1;107139;0;2prbkqA/2p3br/4pppp/2p3P1/1P6/PP1P1P1n/RK1NRa2/1Q3P2 A;Nh3xg5;501
26;0;115971;0;2prbkqA/2p3br/4pppp/2p3n1/1P6/PP1P1P2/RK1NRa2/1Q3P2 A;Re2-e4;296
27;1;106638;0;2prbkqA/2p3br/4pppp/2p3n1/1P2R3/PP1P1P2/RK1N1a2/1Q3P2 A;Ng5xe4;228
28;0;115675;0;2prbkqA/2p3br/4pppp/2p5/1P2n3/PP1P1P2/RK1N1a2/1Q3P2 A;Pd3-c4;558
29;1;106410;0;2prbkqA/2p3br/4pppp/2p5/1PP1n3/PP3P2/RK1N1a2/1Q3P2 A;Rd8xd2;120
30;0;115117;0;2p1bkqA/2p3br/4pppp/2p5/1PP1n3/PP3P2/RK1r1a2/1Q3P2 A;Qb1-c2;1116
31;1;106290;0;2p1bkqA/2p3br/4pppp/2p5/1PP1n3/PP3P2/RKQr1a2/5P2 A;Rd2xc2;79
32;0;114001;0;2p1bkqA/2p3br/4pppp/2p5/1PP1n3/PP3P2/RKr2a2/5P2 A;Kb2xc2;458
33;1;106211;0;2p1bkqA/2p3br/4pppp/2p5/1PP1n3/PP3P2/R1K2a2/5P2 A;Pc5xc4;51
34;0;113543;0;2p1bkqA/2p3br/4pppp/8/1Pp1n3/PP3P2/R1K2a2/5P2 A;Pb4-c5;1274
35;1;106160;0;2p1bkqA/2p3br/4pppp/2P5/2p1n3/PP3P2/R1K2a2/5P2 A;Ne4xc5;51
36;0;112269;0;2p1bkqA/2p3br/4pppp/2n5/2p5/PP3P2/R1K2a2/5P2 A;Pf3-g4;1548
37;1;106109;0;2p1bkqA/2p3br/4pppp/2n5/2p3P1/PP6/R1K2a2/5P2 A;Nc5-e4;103
38;0;110721;0;2p1bkqA/2p3br/4pppp/8/2p1n1P1/PP6/R1K2a2/5P2 A;Pg4-h5;1157
39;1;106006;0;2p1bkqA/2p3br/4pppp/7P/2p1n3/PP6/R1K2a2/5P2 A;Ph6xh5;50
40;0;109564;0;2p1bkqA/2p3br/4ppp1/7p/2p1n3/PP6/R1K2a2/5P2 A;Pa3-b4;1808
41;1;105956;0;2p1bkqA/2p3br/4ppp1/7p/1Pp1n3/1P6/R1K2a2/5P2 A;Ne4-g5;755
42;0;107756;0;2p1bkqA/2p3br/4ppp1/6np/1Pp5/1P6/R1K2a2/5P2 A;Pb4-c5;1772
43;1;105201;0;2p1bkqA/2p3br/4ppp1/2P3np/2p5/1P6/R1K2a2/5P2 A;Ng5-e4;230
44;0;105984;0;2p1bkqA/2p3br/4ppp1/2P4p/2p1n3/1P6/R1K2a2/5P2 A;Pc5-b6;435
45;1;104971;0;2p1bkqA/2p3br/1P2ppp1/7p/2p1n3/1P6/R1K2a2/5P2 A;Be8-a4;1778
