GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;4;Group06BasicKI;120000,0
1;1;KartoffelKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pf3-e4;231
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPPPP3/RBNN1P2/aQKBRP2 Aa;Pf6-g5;273
2;0;119769;0;2prbkqA/2p1nnbr/2ppp1pp/6p1/4P3/PPPPP3/RBNN1P2/aQKBRP2 Aa;Pe3-d4;298
3;1;119727;0;2prbkqA/2p1nnbr/2ppp1pp/6p1/3PP3/PPPP4/RBNN1P2/aQKBRP2 Aa;Pc6-b5;665
4;0;119471;0;2prbkqA/2p1nnbr/3pp1pp/1p4p1/3PP3/PPPP4/RBNN1P2/aQKBRP2 Aa;Pc3-b4;283
5;1;119062;0;2prbkqA/2p1nnbr/3pp1pp/1p4p1/1P1PP3/PP1P4/RBNN1P2/aQKBRP2 Aa;Pb5xb4;430
6;0;119188;0;2prbkqA/2p1nnbr/3pp1pp/6p1/1p1PP3/PP1P4/RBNN1P2/aQKBRP2 Aa;Bd1-f3;215
7;1;118632;0;2prbkqA/2p1nnbr/3pp1pp/6p1/1p1PP3/PP1P1B2/RBNN1P2/aQK1RP2 Aa;Pb4xb3;425
8;0;118973;0;2prbkqA/2p1nnbr/3pp1pp/6p1/3PP3/Pp1P1B2/RBNN1P2/aQK1RP2 Aa;Pa3-b4;345
9;1;118207;0;2prbkqA/2p1nnbr/3pp1pp/6p1/1P1PP3/1p1P1B2/RBNN1P2/aQK1RP2 Aa;Pb3xb2;315
10;0;118628;0;2prbkqA/2p1nnbr/3pp1pp/6p1/1P1PP3/3P1B2/RpNN1P2/aQK1RP2 Aa;Kc1xb2;377
11;1;117892;0;2prbkqA/2p1nnbr/3pp1pp/6p1/1P1PP3/3P1B2/RKNN1P2/aQ2RP2 Aa;Pg5-f4;2818
12;0;118251;0;2prbkqA/2p1nnbr/3pp1pp/8/1P1PPp2/3P1B2/RKNN1P2/aQ2RP2 Aa;Pf1-g2;429
