GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;6;Nidoran;120000,0
1;4;Group06BasicKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Nc2-b4;118
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/1N6/PPPPPP2/RB1N1P2/aQKBRP2 Aa;Pd6-c5;464
2;0;119882;0;2prbkqA/2p1nnbr/2p1pppp/2p5/1N6/PPPPPP2/RB1N1P2/aQKBRP2 Aa;Nb4xc6;81
3;1;119536;0;2prbkqA/2p1nnbr/2N1pppp/2p5/8/PPPPPP2/RB1N1P2/aQKBRP2 Aa;Be8xc6;525
4;0;119801;0;2pr1kqA/2p1nnbr/2b1pppp/2p5/8/PPPPPP2/RB1N1P2/aQKBRP2 Aa;Pa3-b4;171
5;1;119011;0;2pr1kqA/2p1nnbr/2b1pppp/2p5/1P6/1PPPPP2/RB1N1P2/aQKBRP2 Aa;Pg6-f5;1470
6;0;119630;0;2pr1kqA/2p1nnbr/2b1pp1p/2p2p2/1P6/1PPPPP2/RB1N1P2/aQKBRP2 Aa;Bb2-a3;174
7;1;117541;0;2pr1kqA/2p1nnbr/2b1pp1p/2p2p2/1P6/BPPPPP2/R2N1P2/aQKBRP2 Aa;Rd8-d4;1177
8;0;119456;0;2p2kqA/2p1nnbr/2b1pp1p/2p2p2/1P1r4/BPPPPP2/R2N1P2/aQKBRP2 Aa;Nd2-e4;289
9;1;116364;0;2p2kqA/2p1nnbr/2b1pp1p/2p2p2/1P1rN3/BPPPPP2/R4P2/aQKBRP2 Aa;Pc8-b7;1617
10;0;119167;0;5kqA/1pp1nnbr/2b1pp1p/2p2p2/1P1rN3/BPPPPP2/R4P2/aQKBRP2 Aa;Ne4xc5;75
11;1;114747;0;5kqA/1pp1nnbr/2b1pp1p/2N2p2/1P1r4/BPPPPP2/R4P2/aQKBRP2 Aa;Pe6-d5;361
12;0;119092;0;5kqA/1pp1nnbr/2b2p1p/2Np1p2/1P1r4/BPPPPP2/R4P2/aQKBRP2 Aa;Nc5-d7;138
13;1;114386;0;5kqA/1ppNnnbr/2b2p1p/3p1p2/1P1r4/BPPPPP2/R4P2/aQKBRP2 Aa;Bc6xd7;47
14;0;118954;0;5kqA/1ppbnnbr/5p1p/3p1p2/1P1r4/BPPPPP2/R4P2/aQKBRP2 Aa;Ra2-e2;183
15;1;114339;0;5kqA/1ppbnnbr/5p1p/3p1p2/1P1r4/BPPPPP2/4RP2/aQKBRP2 Aa;Ph6-g5;599
16;0;118771;0;5kqA/1ppbnnbr/5p2/3p1pp1/1P1r4/BPPPPP2/4RP2/aQKBRP2 Aa;Pb3-c4;300
17;1;113740;0;5kqA/1ppbnnbr/5p2/3p1pp1/1PPr4/B1PPPP2/4RP2/aQKBRP2 Aa;Nf7-e5;822
18;0;118471;0;5kqA/1ppbn1br/5p2/3pnpp1/1PPr4/B1PPPP2/4RP2/aQKBRP2 Aa;Qb1-b3;15143
19;1;112918;0;5kqA/1ppbn1br/5p2/3pnpp1/1PPr4/BQPPPP2/4RP2/a1KBRP2 Aa;Aa1-b2;55
20;0;103328;0;5kqA/1ppbn1br/5p2/3pnpp1/1PPr4/BQPPPP2/1a2RP2/2KBRP2 A;Qb3-a4;1225
21;1;112863;0;5kqA/1ppbn1br/5p2/3pnpp1/QPPr4/B1PPPP2/1a2RP2/2KBRP2 A;Ne5xd3;600
22;0;102103;0;5kqA/1ppbn1br/5p2/3p1pp1/QPPr4/B1PnPP2/1a2RP2/2KBRP2 A;Kc1-b1;191
23;1;112263;0;5kqA/1ppbn1br/5p2/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 A;Pb7-a6;609
24;0;101912;0;5kqA/2pbn1br/p4p2/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 A;Ah8-f7;327
25;1;111654;0;5kq1/2pbnAbr/p4p2/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Qg8-h8;1009
26;0;101585;0;5k1q/2pbnAbr/p4p2/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Af7-g8;430
27;1;110645;0;5kAq/2pbn1br/p4p2/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Bg7-h6;1118
28;0;101155;0;5kAq/2pbn2r/p4p1b/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Ag8-g7;499
29;1;109527;0;5k1q/2pbn1Ar/p4p1b/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Bd7-e6;992
30;0;100656;0;5k1q/2p1n1Ar/p3bp1b/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Ag7-f7;2556
31;1;108535;0;5k1q/2p1nA1r/p3bp1b/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Qh8-g7;615
32;0;98100;0;5k2/2p1nAqr/p3bp1b/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Af7-g8;297
33;1;107920;0;5kA1/2p1n1qr/p3bp1b/3p1pp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Pf6-e5;570
34;0;97803;0;5kA1/2p1n1qr/p3b2b/3pppp1/QPPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Qa4-b5;481
35;1;107350;0;5kA1/2p1n1qr/p3b2b/1Q1pppp1/1PPr4/B1PnPP2/1a2RP2/1K1BRP2 -;Pd5-e4;522
