GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;2;Group04Ki;120000,0
1;0;BasicKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pd3-e4;1
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Ne7-d5;378
2;0;119999;0;2prbkqA/2p2nbr/2pppppp/3n4/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Pc3-b4;1
3;1;119622;0;2prbkqA/2p2nbr/2pppppp/3n4/1P2P3/PP2PP2/RBNN1P2/aQKBRP2 Aa;Pc6-b5;360
4;0;119998;0;2prbkqA/2p2nbr/3ppppp/1p1n4/1P2P3/PP2PP2/RBNN1P2/aQKBRP2 Aa;Bd1-e2;1
5;1;119262;0;2prbkqA/2p2nbr/3ppppp/1p1n4/1P2P3/PP2PP2/RBNNBP2/aQK1RP2 Aa;Nf7-e5;692
6;0;119997;0;2prbkqA/2p3br/3ppppp/1p1nn3/1P2P3/PP2PP2/RBNNBP2/aQK1RP2 Aa;Pb3-a4;1
7;1;118570;0;2prbkqA/2p3br/3ppppp/1p1nn3/PP2P3/P3PP2/RBNNBP2/aQK1RP2 Aa;Qg8-f7;1541
8;0;119996;0;2prbk1A/2p2qbr/3ppppp/1p1nn3/PP2P3/P3PP2/RBNNBP2/aQK1RP2 Aa;Nc2-d4;0
9;1;117029;0;2prbk1A/2p2qbr/3ppppp/1p1nn3/PP1NP3/P3PP2/RB1NBP2/aQK1RP2 Aa;Pd6-c5;1321
10;0;119996;0;2prbk1A/2p2qbr/4pppp/1ppnn3/PP1NP3/P3PP2/RB1NBP2/aQK1RP2 Aa;Nd4-c2;1
11;1;115708;0;2prbk1A/2p2qbr/4pppp/1ppnn3/PP2P3/P3PP2/RBNNBP2/aQK1RP2 Aa;Pc5-d4;2472
12;0;119995;0;2prbk1A/2p2qbr/4pppp/1p1nn3/PP1pP3/P3PP2/RBNNBP2/aQK1RP2 Aa;Nd2-c4;1
13;1;113236;0;2prbk1A/2p2qbr/4pppp/1p1nn3/PPNpP3/P3PP2/RBN1BP2/aQK1RP2 Aa;Ne5xc4;2075
14;0;119994;0;2prbk1A/2p2qbr/4pppp/1p1n4/PPnpP3/P3PP2/RBN1BP2/aQK1RP2 Aa;Pe3-f4;2
15;1;111161;0;2prbk1A/2p2qbr/4pppp/1p1n4/PPnpPP2/P4P2/RBN1BP2/aQK1RP2 Aa;Nc4-e5;1325
16;0;119992;0;2prbk1A/2p2qbr/4pppp/1p1nn3/PP1pPP2/P4P2/RBN1BP2/aQK1RP2 Aa;Be2-c4;1
17;1;109836;0;2prbk1A/2p2qbr/4pppp/1p1nn3/PPBpPP2/P4P2/RBN2P2/aQK1RP2 Aa;Ne5xc4;1958
18;0;119991;0;2prbk1A/2p2qbr/4pppp/1p1n4/PPnpPP2/P4P2/RBN2P2/aQK1RP2 Aa;Bb2xd4;1
