GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;1;KartoffelKI;120000,0
1;4;Group06BasicKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Nd2-e4;674
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4N3/PPPPPP2/RBN2P2/aQKBRP2 Aa;Pg6-f5;400
2;0;119326;0;2prbkqA/2p1nnbr/2pppp1p/5p2/4N3/PPPPPP2/RBN2P2/aQKBRP2 Aa;Pf1-e2;1235
3;1;119600;0;2prbkqA/2p1nnbr/2pppp1p/5p2/4N3/PPPPPP2/RBN1PP2/aQKBR3 Aa;Pd6-c5;348
4;0;118091;0;2prbkqA/2p1nnbr/2p1pp1p/2p2p2/4N3/PPPPPP2/RBN1PP2/aQKBR3 Aa;Kc1-d2;1412
5;1;119252;0;2prbkqA/2p1nnbr/2p1pp1p/2p2p2/4N3/PPPPPP2/RBNKPP2/aQ1BR3 Aa;Pc8-b7;350
6;0;116679;0;3rbkqA/1pp1nnbr/2p1pp1p/2p2p2/4N3/PPPPPP2/RBNKPP2/aQ1BR3 Aa;Re1-h1;1453
7;1;118902;0;3rbkqA/1pp1nnbr/2p1pp1p/2p2p2/4N3/PPPPPP2/RBNKPP2/aQ1B3R Aa;Nf7-e5;554
8;0;115226;0;3rbkqA/1pp1n1br/2p1pp1p/2p1np2/4N3/PPPPPP2/RBNKPP2/aQ1B3R Aa;Nc2-e1;1640
9;1;118348;0;3rbkqA/1pp1n1br/2p1pp1p/2p1np2/4N3/PPPPPP2/RB1KPP2/aQ1BN2R Aa;Be8-g6;675
10;0;113586;0;3r1kqA/1pp1n1br/2p1ppbp/2p1np2/4N3/PPPPPP2/RB1KPP2/aQ1BN2R Aa;Ne4-g5;1165
11;1;117673;0;3r1kqA/1pp1n1br/2p1ppbp/2p1npN1/8/PPPPPP2/RB1KPP2/aQ1BN2R Aa;Rd8xd3;214
12;0;112421;0;5kqA/1pp1n1br/2p1ppbp/2p1npN1/8/PPPrPP2/RB1KPP2/aQ1BN2R Aa;Ne1xd3;477
