GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;1;KartoffelKI;120000,0
1;2;Group04Ki;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Nd2-e4;684
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4N3/PPPPPP2/RBN2P2/aQKBRP2 Aa;Pc6-b5;0
2;0;119316;0;2prbkqA/2p1nnbr/3ppppp/1p6/4N3/PPPPPP2/RBN2P2/aQKBRP2 Aa;Pf1-e2;1207
3;1;120000;0;2prbkqA/2p1nnbr/3ppppp/1p6/4N3/PPPPPP2/RBN1PP2/aQKBR3 Aa;Pc8-b7;1
4;0;118109;0;3rbkqA/1pp1nnbr/3ppppp/1p6/4N3/PPPPPP2/RBN1PP2/aQKBR3 Aa;Ne4-c5;1342
5;1;119999;0;3rbkqA/1pp1nnbr/3ppppp/1pN5/8/PPPPPP2/RBN1PP2/aQKBR3 Aa;Pd6-e5;2
6;0;116767;0;3rbkqA/1pp1nnbr/4pppp/1pN1p3/8/PPPPPP2/RBN1PP2/aQKBR3 Aa;Nc5xe6;270
end; - ; - ; - ;3rbkqA/1pp1nnbr/4Nppp/1p2p3/8/PPPPPP2/RBN1PP2/aQKBR3 Aa; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;1;KartoffelKI;120000,0;1;116497
1;2;Group04Ki;120000,0;0;119997
