GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;5;BasicKI;120000,0
1;3;BasicKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pa3-b4;9
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/1P6/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Ne7-d5;802
2;0;119991;0;2prbkqA/2p2nbr/2pppppp/3n4/1P6/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pb4-c5;6
3;1;119198;0;2prbkqA/2p2nbr/2pppppp/2Pn4/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Ph6-g5;975
4;0;119985;0;2prbkqA/2p2nbr/2ppppp1/2Pn2p1/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pc5-b6;9
5;1;118223;0;2prbkqA/2p2nbr/1Pppppp1/3n2p1/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pg6-h5;812
6;0;119976;0;2prbkqA/2p2nbr/1Ppppp2/3n2pp/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pb6-a7;12
7;1;117411;0;2prbkqA/P1p2nbr/2pppp2/3n2pp/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pc8-b7;717
8;0;119964;0;3rbkqA/Ppp2nbr/2pppp2/3n2pp/8/1PPPPP2/RBNN1P2/aQKBRP2 Aa;Pb3-c4;3
9;1;116694;0;3rbkqA/Ppp2nbr/2pppp2/3n2pp/2P5/2PPPP2/RBNN1P2/aQKBRP2 Aa;Nd5xe3;1908
10;0;119961;0;3rbkqA/Ppp2nbr/2pppp2/6pp/2P5/2PPnP2/RBNN1P2/aQKBRP2 Aa;Pc4-d5;3
11;1;114786;0;3rbkqA/Ppp2nbr/2pppp2/3P2pp/8/2PPnP2/RBNN1P2/aQKBRP2 Aa;Bg7-h6;2627
12;0;119958;0;3rbkqA/Ppp2n1r/2pppp1b/3P2pp/8/2PPnP2/RBNN1P2/aQKBRP2 Aa;Ah8-g7;9
13;1;112159;0;3rbkq1/Ppp2nAr/2pppp1b/3P2pp/8/2PPnP2/RBNN1P2/aQKBRP2 a;Nf7-e5;4911
14;0;119949;0;3rbkq1/Ppp3Ar/2pppp1b/3Pn1pp/8/2PPnP2/RBNN1P2/aQKBRP2 a;Ag7-g6;3
15;1;107248;0;3rbkq1/Ppp4r/2ppppAb/3Pn1pp/8/2PPnP2/RBNN1P2/aQKBRP2 a;Ne5xf3;1097
16;0;119946;0;3rbkq1/Ppp4r/2ppppAb/3P2pp/8/2PPnn2/RBNN1P2/aQKBRP2 a;Ag6-f5;3
17;1;106151;0;3rbkq1/Ppp4r/2pppp1b/3P1App/8/2PPnn2/RBNN1P2/aQKBRP2 a;Nf3xd2;12638
18;0;119943;0;3rbkq1/Ppp4r/2pppp1b/3P1App/8/2PPn3/RBNn1P2/aQKBRP2 a;Af5-e4;10
19;1;93513;0;3rbkq1/Ppp4r/2pppp1b/3P2pp/4A3/2PPn3/RBNn1P2/aQKBRP2 a;Ne3-g4;5576
20;0;119933;0;3rbkq1/Ppp4r/2pppp1b/3P2pp/4A1n1/2PP4/RBNn1P2/aQKBRP2 a;Ae4xd5;10
21;1;87937;0;3rbkq1/Ppp4r/2pppp1b/3A2pp/6n1/2PP4/RBNn1P2/aQKBRP2 a;Pd6-c5;3609
